star RV K err_K V err_V H_alpha H_alpha_err s s_err rhk_prime rhk_prime_err log_s log_s_err log_rhk_prime log_rhk_prime_err SiIII SiIII_err LyA LyA_err SiII SiII_err CII CII_err MgII MgII_err SiIV SiIV_err HeII HeII_err CIV CIV_err NV NV_err EUV dist radius teff newt_Ha newt_Ha_err ad_logRHK ad_logRHK_err ad_S ad_S_err num_spectra_ha num_spectra_s num_spectra_logrhk SiIII_lum SiIII_surface_flux SiIII_lum_err SiIII_surface_flux_err LyA_lum LyA_surface_flux LyA_lum_err LyA_surface_flux_err SiII_lum SiII_surface_flux SiII_lum_err SiII_surface_flux_err CII_lum CII_surface_flux CII_lum_err CII_surface_flux_err MgII_lum MgII_surface_flux MgII_lum_err MgII_surface_flux_err SiIV_lum SiIV_surface_flux SiIV_lum_err SiIV_surface_flux_err HeII_lum HeII_surface_flux HeII_lum_err HeII_surface_flux_err CIV_lum CIV_surface_flux CIV_lum_err CIV_surface_flux_err NV_lum NV_surface_flux NV_lum_err NV_surface_flux_err EUV_lum EUV_surface_flux EUV_lum_err EUV_surface_flux_err
GJ176 26.0 5.60699987411499 0.03400000184774399 9.951000213623047 0.0 0.157001495436 0.00356810227686 0.742459761888 0.00116179559209 5.84292981788e-06 1.37094680615e-07 -0.129327078258 0.000679120018147 -5.23336933017 0.0101830919147 2.15e-15 5.84e-17 3.9e-13 2e-14 7.34e-16 6.49e-17 5.43e-15 9.66e-17 1.56e-13 1.53e-15 2.3e-15 8.64e-17 6.73e-15 3.03e-16 1.23e-14 2.83e-16 3.1e-15 7.56e-17 3.57e-13 9.47 0.45 3680.0 0.2630000114440918 0.01899999938905239 -4.910999774932861 0.2199999988079071 1.593000054359436 0.23800000548362732 85 85 85 2.1806742301406634e+25 1769.039053669206 5.9233197693123144e+23 2.846275839805611e+25 3.955641626766786e+27 320895.4562469723 2.0285341675727104e+26 3.338191780593933e+30 7.444720394991847e+24 603.9417048340453 6.582593373773445e+23 3.5151242904448633e+25 5.507470264959909e+25 4467.85212159246 9.797820029376191e+23 7.78763422302978e+25 1.582256650706714e+27 128358.18249878891 1.5518286381931234e+25 1.9535932847980844e+28 2.332814292708617e+25 1892.4603829949647 8.763267603914108e+23 6.229867028615621e+25 6.826017473882171e+25 5537.503642415701 3.073229263872656e+24 7.661901229613709e+26 1.2475485130572171e+26 10120.549004712204 2.870375847115385e+24 6.683811037899688e+26 3.144227959737701e+25 2550.7074727323434 7.667859153424845e+23 4.769741943783835e+25 3.620933489117288e+27 293742.7637953054 0.0 0.0
GJ667C 6.1 6.035999774932861 0.019999999552965164 10.220000267028809 0.0 0.229068666468 0.00204027221145 0.303262138436 0.000133712132147 3.0388335146e-06 6.48825435753e-08 -0.518181806949 0.000191356117354 -5.51729309251 0.00926639244182 5.07e-16 3.91e-17 5.2e-13 9e-14 1.29e-16 6.13e-17 6.5e-16 4.63e-17 4.12e-14 1.1e-15 8.25e-16 7.17e-17 1.94e-15 2.25e-16 2.97e-15 2.05e-16 7.16e-16 5.31e-17 4.73e-13 7.24 0.46 3450.0 0.0 0.0 0.0 0.0 0.0 0.0 180 180 180 3.0056434836824094e+24 233.34229156036668 2.3179617398813065e+23 4.171272093019035e+24 3.082711265315292e+27 239325.42724140178 5.33546180535339e+26 2.210039439397582e+31 7.647495254339859e+23 59.37111560411697 3.6340423185351426e+23 1.025264580374062e+25 3.853389081644115e+24 299.1567840517522 2.7447986843095775e+23 5.848937587459511e+24 2.442455848672885e+26 18961.937696818753 6.52111998432081e+24 3.3014169403346597e+27 4.890839988240607e+24 379.6989951426085 4.2505845715982005e+23 1.4026629201981032e+25 1.1500884335983973e+25 892.8679400929218 1.3338654513383474e+24 1.3812746496234889e+26 1.760702395766619e+25 1366.916382513391 1.2152996334416057e+24 1.1466284869220175e+26 4.244656280703364e+24 329.5327036631609 3.1479224651585006e+23 7.693147288542985e+24 2.8040815932579487e+27 217694.0905484289 0.0 0.0
GJ581 -9.8 5.836999893188477 0.023000000044703484 10.5600004196167 0.019999999552965164 0.0573740792592 0.00822129651322 0.515078404497 0.00339687314847 2.13094689798e-06 1.90811144058e-07 -0.288126658243 0.00286217192095 -5.67142737253 0.0388616143367 2.94e-16 3.54e-17 1.1e-13 3e-14 7.93e-17 4.41e-17 4.81e-16 4.26e-17 1.88e-14 7.54e-16 4.44e-16 6.71e-17 7.22e-16 1.9e-16 1.84e-15 1.84e-16 5.34e-16 4.48e-17 1.01e-13 6.3 0.3 3500.0 0.0 0.0 -5.776000022888184 0.05700000002980232 0.5049999952316284 0.07800000160932541 26 26 26 1.3197169746636403e+24 240.88510701545775 1.589046969492955e+23 4.608956573190828e+24 4.937716571870763e+26 90127.08085612365 1.346649974146572e+26 3.310080848312861e+30 3.559644764994105e+23 64.97343192627824 1.9795754619954607e+23 7.152753705119262e+24 2.1591287918816704e+24 394.101144470868 1.912242963288132e+23 6.674447022538053e+24 8.43900650465185e+25 15403.537455410224 3.3845802683550507e+24 2.0909265817327052e+27 1.9930419617369266e+24 363.7856718192628 3.012007108841166e+23 1.6559267902502566e+25 3.240937604446083e+24 591.561385255648 8.528783169594955e+23 1.3277102069343811e+26 8.25945317476564e+24 1507.580261593341 8.259453174765641e+23 1.2451788577831139e+26 2.397036953980898e+24 437.5260107015458 2.0109972947255474e+23 7.38162740644205e+24 4.5337215796267925e+26 82753.04696789537 0.0 0.0
GJ1214 16.0 8.781999588012695 0.019999999552965164 14.670000076293945 0.0 -0.0170800707857 0.00708319588111 0.597007568774 0.112896505267 8.31036990072e-07 5.28254014019e-07 -0.224020162914 0.0820711258091 -6.08037964502 0.275874894648 8.05e-17 2.77e-17 1.3e-14 1e-14 1.36e-17 2.09e-17 9.83e-17 3e-17 1.66e-15 2.7e-16 4.79e-17 3.74e-17 7.43e-17 1.44e-16 5.23e-16 1.21e-16 1.84e-16 3.58e-17 1.29e-14 14.65 0.21 2820.0 nan nan 0.0 0.0 0.0 0.0 95 17 16 1.9539952480171284e+24 727.8746101343828 6.72368551181049e+23 1.684022350123412e+26 3.155520276300953e+26 117544.96809623572 2.4273232894622713e+26 2.1947664509160976e+31 3.3011596736686896e+23 122.97012046990817 5.0731056749761475e+23 9.586959334246605e+25 2.3860587935414127e+24 888.8207972199979 7.281969868386814e+23 1.9752898058244877e+26 4.02935666050737e+25 15009.588233827022 6.553772881548132e+24 1.5999847427178347e+28 1.1626878556524282e+24 433.1079978315148 9.078189102588895e+23 3.0699515208834003e+26 1.8035012040704674e+24 671.814702273101 3.4953455368256707e+24 4.5510677126196195e+27 1.269490080388768e+25 4728.924485717792 2.937061180249348e+24 3.2133575607862576e+27 4.4662748526105803e+24 1663.7133945928754 8.689817376274931e+23 2.8129004741521064e+26 3.1312470434063304e+26 116640.77603395701 0.0 0.0
GJ832 12.8 4.500999927520752 0.017999999225139618 8.67199993133545 0.0 0.234815985357 0.00384808473815 0.488469801354 0.000315218800544 3.63556996008e-06 1.10832696284e-07 -0.311162280483 0.000280068407621 -5.43942749372 0.0132307700623 2.55e-15 6.33e-17 9.5e-13 6e-14 7.65e-16 6.33e-17 3.78e-15 8.18e-17 1.84e-13 2.02e-15 3.33e-15 9.19e-17 6.81e-15 2.93e-16 7.64e-15 2.88e-16 3.51e-15 7.54e-17 8.65e-13 4.97 0.56 3590.0 0.0 0.0 -5.182000160217285 0.12200000137090683 0.7649999856948853 0.09700000286102295 62 62 62 7.123695236693751e+24 373.1650262893876 1.7683525822851546e+23 1.6380732739752943e+24 2.653925676415319e+27 139022.26469604636 1.676163585104412e+26 1.471730890119534e+30 2.137108571008125e+24 111.94950788681626 1.7683525822851546e+23 1.6380732739752943e+24 1.0559830586157796e+25 553.1622742642686 2.2851696876923484e+23 2.735473500334287e+24 5.1402349943201975e+26 26926.417583234244 5.643084069851521e+24 1.668125201123263e+27 9.302707897329487e+24 487.3096225661414 2.5673238911849242e+23 3.452684756361788e+24 1.9024456690935074e+25 996.5701290316584 8.185265507259878e+23 3.5096284773853295e+25 2.134314965032951e+25 1118.0316866082042 8.045585208501177e+23 3.390867970835406e+25 9.80555697286081e+24 513.6506832453923 2.106378905281211e+23 2.324173774242214e+24 2.4164691685255278e+27 126583.43048640012 0.0 0.0
GJ876 -2.1 5.010000228881836 0.020999999716877937 10.192000389099121 0.0017000000225380063 0.047923894773 0.00382836416256 0.686859503391 0.00102961937889 2.2198865291e-06 8.35720894199e-08 -0.163132088475 0.000650576731093 -5.65366922422 0.0163388021562 8.11e-15 1.01e-16 3.9e-13 4e-14 1.19e-15 7.06e-17 1.06e-14 1.26e-16 3.11e-14 9.31e-16 8.44e-15 1.36e-16 5.51e-15 2.92e-16 2.29e-14 4.34e-16 1.07e-14 1.26e-16 3.43e-13 4.68 0.38 3130.0 0.0 0.0 -5.495999813079834 0.05700000002980232 0.9490000009536743 0.11100000143051147 200 199 199 2.0089305992550203e+25 2285.437753828215 2.5018741125124175e+23 7.12090792550179e+24 9.660702018612306e+26 109903.91171307077 9.908412326781851e+25 1.1168956652095738e+30 2.9477526672176004e+24 335.34783317577995 1.7488347756769967e+23 3.4793812986524947e+24 2.6257292665971905e+25 2987.1319593808976 3.121149882936283e+23 1.1082397238041996e+25 7.70379058407289e+25 8764.132446862823 2.3061829690584754e+24 6.050510022954469e+26 2.0906750009509702e+25 2378.433371431582 3.3688601911058284e+23 1.291131388982267e+25 1.3648837980142e+25 1552.7450090744098 7.233140998550751e+23 5.951936999901819e+25 5.672566057082609e+25 6453.332251870052 1.0750627374558307e+24 1.3148374994763404e+26 2.650500297414145e+25 3015.312449563736 3.121149882936283e+23 1.1082397238041996e+25 8.496463570215438e+26 96659.08132713659 0.0 0.0
GJ436 10.0 6.072999954223633 0.01600000075995922 10.61299991607666 0.009999999776482582 0.181283857146 0.00312497716505 0.510439279001 0.00234313875323 2.70749634258e-06 8.59286668468e-08 -0.292055913446 0.0019922491484 -5.56743212137 0.0137739951205 5.15e-16 4e-17 2.1e-13 3e-14 1.87e-16 4.47e-17 1.09e-15 5.85e-17 3.84e-14 1.01e-15 6.81e-16 6.92e-17 1.5e-15 2.13e-16 2.39e-15 1.76e-16 9.56e-16 5.04e-17 1.9e-13 9.76 0.45 3420.0 0.23999999463558197 0.020999999716877937 -5.456999778747559 0.06199999898672104 0.6679999828338623 0.07000000029802322 169 169 169 5.548291085688353e+24 450.09673962507884 4.3093522995637693e+23 1.506505180527758e+25 2.2624099572709783e+27 183534.59285682824 3.232014224672827e+26 8.474091640468638e+30 2.014622200046062e+24 163.43318506774708 4.8157011947625115e+23 1.881333085100442e+25 1.1742985016311271e+25 952.6319343521086 6.302427738112012e+23 3.2222733462882e+25 4.136978207581218e+26 33560.6112652486 1.0881114556398516e+25 9.604912091602285e+27 7.336672290007317e+24 595.176465407143 7.45517947824532e+23 4.508819354801526e+25 1.616007112336413e+25 1310.961377548773 2.2947300995177071e+24 4.271789595960241e+26 2.5748379989893522e+25 2088.7984615610458 1.8961150118080582e+24 2.916594029501739e+26 1.0299351995957407e+25 835.5193846244181 5.4297838974503495e+23 2.3917276246058688e+25 2.0469423422927903e+27 166055.1078228446 0.0 0.0
GJ628 -21.6 5.074999809265137 0.024000000208616257 10.071999549865723 0.002099999925121665 0.141458823044 0.00332855912662 0.629482290427 0.000968158211307 2.10207420086e-06 7.47435712833e-08 -0.201016483631 0.000667501961687 -5.67735195793 0.0154317625532 nan nan nan nan nan nan nan nan nan nan nan nan 4.18e-15 1.48e-16 1.22e-14 3e-16 nan nan nan 4.31 0.299 3410.0 0.0 0.0 -5.5229997634887695 0.05999999865889549 0.8209999799728394 0.10100000351667404 200 199 199 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 8.781792992712729e+24 1613.6616422278644 3.109342973496373e+23 1.7765054266783503e+25 2.563107045719983e+25 4709.730151956925 6.30272224357373e+23 7.299374013926752e+25 nan nan nan nan nan nan 0.0 0.0
GJ887 9.5 3.4600000381469727 0.20000000298023224 7.340000152587891 0.0 0.270054197668 0.00173474192404 0.580226888943 0.000104229964532 6.90054106194e-06 9.12800641607e-08 -0.236402148941 7.79622686726e-05 -5.16111685549 0.00574093357175 nan nan nan nan nan nan nan nan nan nan nan nan 8.3e-14 1.15e-15 9.14e-14 1e-15 nan nan nan 3.29 0.461 3720.0 0.0 0.0 -4.8429999351501465 0.17299999296665192 1.1549999713897705 0.11100000143051147 198 187 185 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.0160668016866318e+26 7854.021173012875 1.407803399927261e+24 1.531982574341982e+26 1.1188976587247968e+26 8648.885966426224 1.224176869501966e+24 1.1583989219977182e+26 nan nan nan nan nan nan 0.0 0.0
GJ1061 0.7 6.610000133514404 0.020999999716877937 13.069999694824219 0.0 -0.164151357145 0.0329541571514 1.08628832734 0.471534643293 1.10775119637e-06 1.33905616048e-06 0.0359451128714 0.188390163125 -5.95555777226 0.524621752205 nan nan nan nan nan nan nan nan nan nan nan nan 1.23e-15 9.69e-17 4.5e-15 2e-16 nan nan nan 3.67 0.16 2882.0 0.0 0.0 -5.754000186920166 0.04500000178813934 1.9630000591278076 0.3370000123977661 7 6 6 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.8736549440869068e+24 1202.323414624517 1.47607450473188e+23 1.398132237128109e+25 6.854835161293561e+24 4398.744199845793 3.0465934050193605e+23 5.956082253163269e+25 nan nan nan nan nan nan 0.0 0.0
