00051079+4547116 00 05 10.896 +45 47 11.570 0.528 0.536 5.531                                              0.141       2002AJ....123.3356G  0.068 0   0.141       2002AJ....123.3356G 0 0
00054090+4548374 00 05 40.997 +45 48 37.376 0.650 0.656                                                    0.325       2002AJ....123.3356G        0   0.325       2002AJ....123.3356G 0 0
00123349+2142488 00 12 33.485 +21 42 48.380 0.484 0.494 6.127                                              0.120 0.070 2014MNRAS.443.2561G  0.077 0   0.120 0.070 2014MNRAS.443.2561G 0 1
00131578+6919372 00 13 15.811 +69 19 37.115 0.383 0.396 4.568                                             -0.337 0.130 2014MNRAS.443.2561G  0.252 0  -0.337 0.130 2014MNRAS.443.2561G 0 1
00133880+8039569 00 13 38.693 +80 39 56.920 0.559 0.567 5.205                                              0.072       2002AJ....123.3356G  0.110 0   0.072       2002AJ....123.3356G 0 0
00134305+8039494 00 13 42.983 +80 39 49.289 0.131 0.155 3.727                                                                                     0  -3.200       1995AJ....110.1838R 1 1
00154919+1333218 00 15 49.244 +13 33 22.253 0.224 0.244 4.184                                0.064 0.024   0.073       2002AJ....123.3356G  0.038 0   0.073       2002AJ....123.3356G 0 0
00161455+1951385 00 16 14.615 +19 51 37.570 0.443 0.454 3.179   4.7901 2007A&A...467..785N                -3.628 0.400 2015A&A...577A.128A  1.227 0  -3.628 0.400 2015A&A...577A.128A 1 1
00161607+1951515 00 16 16.141 +19 51 50.564 0.299 0.315 3.369                                0.089 0.031   0.089 0.031 ThisWork             0.035 0   0.089 0.031 ThisWork            0 0
00170635+4056538 00 17 06.374 +40 56 53.951 0.719 0.723 6.654                                              0.309 0.090 2002AJ....123.3356G  0.102 0   0.309 0.090 2002AJ....123.3356G 0 0
00172021+2910578 00 17 20.331 +29 10 58.916 0.566 0.573 5.351                                              0.001 0.080 2014MNRAS.443.2561G  0.153 0   0.001 0.080 2014MNRAS.443.2561G 0 0
00182256+4401222 00 18 22.870 +44 01 22.533 0.403 0.415                                      0.183 0.024   0.085 0.035 2002AJ....123.3356G        0   0.085 0.035 2002AJ....123.3356G 0 0
00182549+4401376 00 18 25.868 +44 01 38.415 0.159 0.182 3.903                               -0.100 0.020  -0.124       2002AJ....123.3356G  0.096 0  -0.124       2002AJ....123.3356G 0 0
00202922+3305081 00 20 29.407 +33 05 06.375 0.107 0.133 1.662                                                                                     1  -1.000       1995AJ....110.1838R 0 0
00232865+7711217 00 23 28.830 +77 11 21.391 0.493 0.502 5.785                                              0.054       2002AJ....123.3356G  0.112 0   0.054       2002AJ....123.3356G 0 0
