target_name	rv	h_alpha_ew	h_alpha_err
			
GJ176	26	2.63E-01	1.90E-02
GJ667C	6.1	x	x
GJ581	-9.8	x	x
GJ1214	16	x	x
GJ832	12.8	x	x
GJ876	-2.1	x	x
GJ436	10.0	2.40E-01	2.10E-02
GJ628	-21.6	x	x
GJ887	9.5	x	x
GJ1061	0.7	x	x
HD173739	-1.07	x	x
GSC8056-0482	12.0	-5.8	x
2MASSJ02543316-5108313	13.8	-3.1	x
2MASSJ02001277-0840516	4.5	-4.2	x
G75-55	-31.07	x	x
2MASSJ22025453-6440441	2.2	x	x
2MASSJ00240899-6211042	6.1	x	x
2MASSJ01521830-5950168	10.3	2.30E+00	x
2MASSJ03315564-4359135	15.1	-1.9	x
2MASSJ23261069-7323498	9.2	-5.1	x
2MASSJ23285763-6802338	8.0	-6	x
2MASSJ00393579-3816584	3.3	x	x
GJ173	-6.636	x	x
GJ3290	0	x	x
LP415-1619	55.103	x	x
LP5-282	0	x	x
2MASSJ02001277-0840516	4.5	-4.2	x
2MASSJ04223953+1816097	0	x	x
2MASSJ04184702+1321585	0	x	x
TYC1265-1118-1	0	x	x
2MASSJ02125819-5851182	9.1	x	x
GJ3997	0	x	x
2MASSJ22463471-7353504	9.1	x	x
GJ4334	-40	-4.70E+00	5.70E-02
GJ49	-6.56	x	x
HIP112312	3.2	-16	x
LP247-13	27.5	-4.88E+00	4.20E-02
HIP17695	18.9	-4	x
HIP23309	18.07	x	x
CD-352722	31.4	-3.4	x
GJ410	-13.853	x	x
LP55-41	0	1.46E-01	3.80E-02
G249-11	0	-3.10E-02	4.20E-02
G111-72	0	x	x
GJ213	105.83	x	x
GJ4304	0	x	x
GJ821	-58.27	x	x
GJ191	245.19	x	x
LHS26	29	x	x
LHS353	25.762	x	x
GJ754.1B	38.513	x	x
GJ388	12.5	-3.31E+00	1.70E-02
GJ803	-4.5	-2.2	x
2MASSJ22464980+4420030	0.40	-4.54E+00	3.80E-02
GJ551	-22.40	x	x
GJ1132	-4.005	x	x
GJ3470	42.918	x	x
K2-25	38.64	-3.10E+00	1.00E-01
GJ1243	-11.38	-4.82E+00	4.30E-02
TWA13A	11.3	2.30E+00	x
TWA13B	11.6	1.50E+00	x
TWA7	11.4	-6.5	x
LHS2065	7	x	x
LHS3003	1	x	x
GJ285	26.53	-9.34E+00	2.50E-02
GJ752B	29	x	x
GJ644C	15.39	x	x
GJ3053	1.18	x	x
TRAPPIST-1	-54	x	x
GJ676A	-39.08	x	x
GJ15A	11.62	1.83E-01	2.40E-02
GJ649	4.38	x	x
GJ163	58.1	x	x
GJ849	-15.26	x	x
GJ674	-2.73	-0.4	x
GJ699	-110.51	7.40E-02	1.40E-02
L980-5	0	x	x
LP756-18	912.541	x	x
LHS2686	-10	-4.5	x
GJ729	-10.50	-2.4	x
K2-3	32.6	3.80E-01	6.00E-02
Ross1044	-174	x	x
Ross825	-340.60Ê	x	x
GJ273	18.22	9.10E-02	1.30E-02
GJ860A	0	x	x
GJ205	8.67	x	x
GJ588	15.50	x	x
GJ338A	11.14	x	x
GJ644A	14.89	-1.4	x
GJ411	-84.69Ê	x	x
2MASSJ04483062+1623187	0	x	x
2MASSJ04235911+1643178	0	x	x
2MASSJ04251456+1858250	0	x	x
2MASSJ04202761+1853499	0	x	x
2MASSJ04172811+1454038	0	x	x
2MASSJ02564122+3522346	0	x	x
2MASSJ03553690+2118482	0	x	x
2MASSJ03555715+1825564	0	x	x
2MASSJ03581434+1237408	0	x	x
2MASSJ04004493+1354227	0	x	x
2MASSJ04062060+1901391	0	x	x
2MASSJ04183382+1821529	0	x	x
2MASSJ04262170+1800009	0	x	x
2MASSJ04290015+1620467	0	x	x
2MASSJ04214955+1929086	0	x	x
2MASSJ04110642+1247481	0	x	x
2MASSJ04254182+1900477	0	x	x
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
