star RV K err_K V err_V H_alpha H_alpha_err s s_err rhk_prime rhk_prime_err newt_Ha newt_Ha_err ad_logRHK ad_logRHK_err ad_S ad_S_err num_spectra_ha num_spectra_s num_spectra_logrhk
GJ176 26.0 5.60699987411499 0.03400000184774399 9.951000213623047 0.0 0.157001495626 1.27313538204e-05 0.740773260207 1.34624566874e-06 6.1589943725e-06 1.62129949284e-11 0.2630000114440918 0.01899999938905239 -4.910999774932861 0.2199999988079071 1.593000054359436 0.23800000548362732 85 85 85
GJ667C 6.1 6.035999774932861 0.019999999552965164 10.220000267028809 0.0 0.229068664298 4.1627107007e-06 0.304512994107 1.79124117554e-08 1.13348600687e-06 2.48162435721e-13 0.0 0.0 0.0 0.0 0.0 0.0 180 180 180
GJ581 -9.8 5.836999893188477 0.023000000044703484 10.5600004196167 0.019999999552965164 0.0573740794485 6.75897158995e-05 0.512215730388 1.16040818359e-05 2.26228048371e-06 1.00507121858e-10 0.0 0.0 -5.776000022888184 0.05700000002980232 0.5049999952316284 0.07800000160932541 26 26 26
GJ1214 16.0 8.781999588012695 0.019999999552965164 14.670000076293945 0.0 -0.0170800713915 5.01716641763e-05 0.69656565846 0.00808269427118 1.01152266999e-06 2.50217421958e-08 nan nan 0.0 0.0 0.0 0.0 95 94 93
GJ832 12.8 4.500999927520752 0.017999999225139618 8.67199993133545 0.0 0.234815985357 1.4807756152e-05 0.488546530819 9.93642186309e-08 3.7373990615e-06 1.39242742563e-12 0.0 0.0 -5.182000160217285 0.12200000137090683 0.7649999856948853 0.09700000286102295 62 62 62
GJ876 -2.1 5.010000228881836 0.020999999716877937 10.192000389099121 0.0017000000225380063 0.0479238942945 1.46563720744e-05 0.688142896376 1.06483094494e-06 2.33706668916e-06 6.18589953526e-12 0.0 0.0 -5.495999813079834 0.05700000002980232 0.9490000009536743 0.11100000143051147 200 200 200
GJ436 10.0 6.072999954223633 0.01600000075995922 10.61299991607666 0.009999999776482582 0.181283857316 9.76548225978e-06 0.510708286688 5.49653478927e-06 2.74849430035e-06 5.58071923716e-11 0.23999999463558197 0.020999999716877937 -5.456999778747559 0.06199999898672104 0.6679999828338623 0.07000000029802322 169 169 169
GJ628 -21.6 5.074999809265137 0.024000000208616257 10.071999549865723 0.002099999925121665 0.141458823714 1.10793058852e-05 0.619843677508 9.45976134202e-07 2.38577400584e-06 6.45795687373e-12 0.0 0.0 -5.5229997634887695 0.05999999865889549 0.8209999799728394 0.10100000351667404 200 199 199
GJ887 9.5 3.4600000381469727 0.20000000298023224 7.340000152587891 0.0 0.270054197615 3.00932957494e-06 0.580426028083 1.08572236807e-08 6.70790747431e-06 1.96864169633e-13 0.0 0.0 -4.8429999351501465 0.17299999296665192 1.1549999713897705 0.11100000143051147 198 189 187
GJ1061 0.7 6.610000133514404 0.020999999716877937 13.069999694824219 0.0 -0.164151357145 0.00108597647356 1.10429290664 0.224721027967 1.12657385392e-06 4.06216646246e-07 0.0 0.0 -5.754000186920166 0.04500000178813934 1.9630000591278076 0.3370000123977661 7 7 7
HD173739 -1.07 4.432000160217285 0.019999999552965164 8.90999984741211 0.0 0.0 0.0 0.197429074983 1.67327055966e-10 -4.25012413592e-07 1.79301710988e-15 nan nan 0.0 0.0 0.0 0.0 0 37 33
GSC8056-0482 12.0 7.500999927520752 0.027000000700354576 12.41100025177002 0.5370000004768372 -4.91544 4124717283600.0 4.21974 1.07172129825e-05 2.917135262e-05 7.89139682181e-11 0.0 0.0 0.0 0.0 0.0 0.0 1 1 1
2MASSJ00240899-6211042 6.1 7.49399995803833 0.020999999716877937 11.335000038146973 0.019999999552965164 -1.94516665005 1617469678450.0 2.45951494204 1.37890338852e-06 4.23080871304e-05 2.58897523112e-11 0.0 0.0 0.0 0.0 0.0 0.0 3 3 3
2MASSJ01521830-5950168 10.3 8.137999534606934 0.028999999165534973 12.539999961853027 0.019999999552965164 -2.54980252424 4559726451990.0 2.98437785221 1.54413983499e-06 3.15497312878e-05 1.76786941961e-11 0.0 0.0 0.0 0.0 0.0 0.0 3 3 3
2MASSJ03315564-4359135 15.1 7.46999979019165 0.020999999716877937 10.927000045776367 0.0820000022649765 -1.18940256854 1472571035650.0 1.72258 4.54640391757e-07 4.06285554637e-05 1.21017357946e-11 0.0 0.0 0.0 0.0 0.0 0.0 2 1 1
2MASSJ23261069-7323498 9.2 7.941999912261963 0.027000000700354576 11.876999855041504 0.061000000685453415 -2.69950485601 1331251838650.0 3.16930410684 1.29986031714e-06 5.11203995307e-05 2.24414262246e-11 0.0 0.0 0.0 0.0 0.0 0.0 3 3 3
GJ173 -6.636 6.091000080108643 0.020999999716877937 10.331000328063965 0.0 0.258327594972 6.08559352692e-05 0.495071679103 9.95333203369e-06 3.56394633768e-06 1.31284597208e-10 0.0 0.0 -5.25600004196167 0.09300000220537186 0.7850000262260437 0.08799999952316284 16 16 16
TYC1265-1118-1 0.0 8.362000465393066 0.017000000923871994 12.239999771118164 0.0 0.0 0.0 0.951699224919 7.87297656111e-07 1.34758944349e-05 1.43008855007e-11 0.0 0.0 0.0 0.0 0.0 0.0 0 1 1
GJ49 -6.56 5.370999813079834 0.019999999552965164 9.5600004196167 0.019999999552965164 0.0 0.0 1.06170358746 2.52062716405e-09 1.1586474269e-05 3.47682998141e-14 nan nan 0.0 0.0 0.0 0.0 0 21 21
GJ871.1A 3.2 6.932000160217285 0.028999999165534973 12.111000061035156 0.07800000160932541 -6.81170150734 8491057030040.0 4.66603139544 1.2969656097e-06 2.55510525418e-05 7.55423613126e-12 0.0 0.0 0.0 0.0 0.0 0.0 2 2 2
G80-21 18.9 6.933000087738037 0.024000000208616257 11.536999702453613 0.04899999871850014 -3.54628726869 4004402270100.0 3.64063180454 2.17297254456e-06 3.26720638218e-05 2.08692342801e-11 0.0 0.0 0.0 0.0 0.0 0.0 3 4 4
CD-571054 18.07 6.24399995803833 0.024000000208616257 9.97700023651123 0.041999999433755875 -0.984347979037 4.64761720451e-05 2.1257846731 2.21654568991e-07 3.97771615886e-05 4.58597652196e-12 0.0 0.0 0.0 0.0 0.0 0.0 15 14 14
CD-352722 31.4 7.046000003814697 0.017999999225139618 11.083000183105469 0.07000000029802322 -2.40607530586 8534154761910.0 3.0839 2.09398995883e-07 4.52880780938e-05 3.30236619637e-12 0.0 0.0 0.0 0.0 0.0 0.0 2 1 1
GJ410 -13.853 5.688000202178955 0.020999999716877937 9.571999549865723 0.0 -0.286244148271 4.67180333696e-05 1.41219869581 3.71850515621e-06 2.17334446875e-05 6.71839230556e-11 nan nan 0.0 0.0 0.0 0.0 13 13 13
GJ213 105.83 6.388999938964844 0.01600000075995922 11.508999824523926 0.0010000000474974513 -0.140238696204 2.53578703428e-05 0.872868419935 0.000195664681037 3.63536258319e-06 1.1999610273e-09 nan nan -5.914999961853027 0.04899999871850014 0.5709999799728394 0.12300000339746475 128 125 125
GJ4304 0.0 7.239999771118164 0.028999999165534973 11.211999893188477 0.0 0.374552855367 0.000185663998843 0.643993764784 0.0036130471847 7.18906120245e-06 6.03591643402e-08 nan nan 0.0 0.0 0.0 0.0 4 4 4
GJ821 -58.27 6.908999919891357 0.028999999165534973 10.869000434875488 0.002099999925121665 0.397916337114 3.86695198108e-05 0.360949803093 6.44573137459e-05 2.48677340398e-06 1.08835561471e-09 0.0 0.0 -5.61299991607666 0.125 0.382999986410141 0.07800000160932541 106 15 15
GJ191 245.19 5.048999786376953 0.020999999716877937 8.852999687194824 0.0 0.188914079983 2.21960895907e-06 0.29576204876 7.47278389541e-08 1.69583457779e-06 1.45038594956e-12 0.0 0.0 -5.938000202178955 0.1080000028014183 0.28600001335144043 0.05999999865889549 143 142 142
GJ754.1B 38.513 7.414000034332275 0.019999999552965164 11.675999641418457 0.009999999776482582 0.993851632037 0.000411758149928 0.656762 0.983457373705 5.57829177355e-06 1.27242369856e-05 0.0 0.0 -5.044000148773193 0.0 0.3720000088214874 0.6740000247955322 2 1 1
GJ803 -4.5 4.5289998054504395 0.0 8.626999855041504 0.052000001072883606 -2.71187713818 2.02543840968e-05 3.0676688035 6.4479742885e-08 4.26334278155e-05 9.63551905379e-13 0.0 0.0 -3.994999885559082 0.3889999985694885 8.63700008392334 0.3230000138282776 44 43 43
GJ551 -22.4 4.383999824523926 0.032999999821186066 11.130000114440918 0.0 -2.44609557867 0.000137604174726 3.32875481679 8.64655080955e-08 3.77615397527e-06 1.17795326627e-13 nan nan -5.002999782562256 0.9150000214576721 11.265000343322754 9.640999794006348 166 114 111
