SiIII_flux	SiIII_flux_err	LyA_flux	LyA_flux_err	SiII_flux	SiII_flux_err	CII_flux	CII_flux_err	MgII_flux	MgII_flux_err	SiIV_flux	SiIV_flux_err	HeII_flux	HeII_flux_err	CIV_flux	CIV_flux_err	NV_flux	NV_flux_err	EUV_flux	dist_pc	radius	temp	star	
Si III (1206 Å)		LyA (1216 Å)		Si II (1260 Å)		C II (1335 Å)		Mg II (2800 Å)		Si IV (1393 Å)		He II (1640 Å)		C IV (1550 Å)		N V (1240 Å)		(100-912 Å)		Solar Units			
																							
																							
																							
2.15E-15	5.84E-17	3.90E-13	2.00E-14	7.34E-16	6.49E-17	5.43E-15	9.66E-17	1.56E-13	1.53E-15	2.30E-15	8.64E-17	6.73E-15	3.03E-16	1.23E-14	2.83E-16	3.10E-15	7.56E-17	3.57E-13	9.47	0.45	3680	GJ176	
5.07E-16	3.91E-17	5.20E-13	9.00E-14	1.29E-16	6.13E-17	6.50E-16	4.63E-17	4.12E-14	1.10E-15	8.25E-16	7.17E-17	1.94E-15	2.25E-16	2.97E-15	2.05E-16	7.16E-16	5.31E-17	4.73E-13	7.24	0.46	3450	GJ667C	
2.94E-16	3.54E-17	1.10E-13	3.00E-14	7.93E-17	4.41E-17	4.81E-16	4.26E-17	1.88E-14	7.54E-16	4.44E-16	6.71E-17	7.22E-16	1.90E-16	1.84E-15	1.84E-16	5.34E-16	4.48E-17	1.01E-13	6.3	0.3	3500	GJ581	
8.05E-17	2.77E-17	1.30E-14	1.00E-14	1.36E-17	2.09E-17	9.83E-17	3.00E-17	1.66E-15	2.70E-16	4.79E-17	3.74E-17	7.43E-17	1.44E-16	5.23E-16	1.21E-16	1.84E-16	3.58E-17	1.29E-14	14.65	0.21	2820	GJ1214	
2.55E-15	6.33E-17	9.50E-13	6.00E-14	7.65E-16	6.33E-17	3.78E-15	8.18E-17	1.84E-13	2.02E-15	3.33E-15	9.19E-17	6.81E-15	2.93E-16	7.64E-15	2.88E-16	3.51E-15	7.54E-17	8.65E-13	4.97	0.56	3590	GJ832	
8.11E-15	1.01E-16	3.90E-13	4.00E-14	1.19E-15	7.06E-17	1.06E-14	1.26E-16	3.11E-14	9.31E-16	8.44E-15	1.36E-16	5.51E-15	2.92E-16	2.29E-14	4.34E-16	1.07E-14	1.26E-16	3.43E-13	4.68	0.38	3130	GJ876	
